price,mileage,power,make_model,date,fuel,gear,offer_type,version,link
10900,13879,58,Harley-Davidson,Jul-60,Gasoline,,Used,Shovelhead,/offers/harley-davidson-others-shovelhead-gasoline-violet-5ef288c6-34e6-d103-e053-0100007f98e6
18800,3500,73,Harley-Davidson Rocker C,11-Jan,Gasoline,Manual,Used,,/offers/harley-davidson-rocker-c-gasoline-black-b0fd49c6-ac06-da77-e053-0100007fadf2
1800,1000,20,LML Star 150,10-May,Gasoline,,Used,portapacchi,/offers/lml-star-150-portapacchi-gasoline-green-bc4dcf18-aa03-4db0-9fb7-d67e6a7ff1d5
10490,901,,Yamaha SCR 950,20-Jan,,,New,Demo,/offers/yamaha-scr-950-demo-red-9b39dae6-25aa-4549-8582-b1e9fe507b29
9798,0,,Honda CB 650,21-Jan,,,New,R ABS,/offers/honda-cb-650-r-abs-black-9b61dd5b-76fd-4c03-82b7-f3637f950af6
200,55000,15,Aprilia Scarabeo,2-Jul,Gasoline,,Used,,/offers/aprilia-scarabeo-gasoline-gold-0a6d3fc2-5acc-9b6b-e053-0100007ffba6
8000,5200,68,Peugeot Metropolis,16-Mar,Gasoline,Automatic,Used,400,/offers/peugeot-metropolis-400-gasoline-red-854c0b5f-4633-a57c-e053-e350040a848c
6000,10400,41,Ducati Scrambler,16-Jun,Gasoline,,Used,,/offers/ducati-scrambler-gasoline-orange-2f8664d8-c0ca-4adf-a6e1-bbd5085c9c32
18799,185,,KTM 790 Adventure,20-Dec,,Manual,Used,R Rally,/offers/ktm-790-adventure-r-rally-7cb455a4-4301-4e9e-adcc-79490313b5ea
9000,12000,67,Harley-Davidson Sportster Forty Eight,12-Oct,Gasoline,,Used,,/offers/harley-davidson-sportster-forty-eight-gasoline-black-c4ad2dc0-02ad-f33c-e053-0100007f8fd5
7000,24100,110,Ducati Hypermotard 821,13-May,Gasoline,,Used,,/offers/ducati-hypermotard-821-gasoline-black-86f6b9fc-a5cf-468e-b20d-6c8c6b9e8c7f
900,11350,5,Kymco Dink 50,11-Jun,Two Stroke Gasoline,,Used,50 ccm,/offers/kymco-dink-50-50-ccm-two-stroke-gasoline-grey-c70b78bb-93a4-c51b-e053-0100007f0223
2499,990,8,Yamaha D'elight,19-Mar,Gasoline,Automatic,Used,"125 ""1. Hand, Scheckheft, nur 990 km""",/offers/yamaha-d-elight-125-1-hand-scheckheft-nur-990-km-gasoline-white-cd6b5e85-00c3-4b81-aa90-0769ef04910f
14990,150,,Yamaha,20-Jan,Gasoline,,Used,,/offers/yamaha-gasoline-red-9f67bfad-ff4a-473c-a034-81e3532d80c7
12990,5000,,Indian FTR 1200,19-Jun,Gasoline,,Used,S REPLICA,/offers/indian-ftr-1200-s-replica-gasoline-black-f6b16690-3217-4d0c-863c-0ba5befe968d
9789,15239,140,Triumph Speed Triple 1050,17-Mar,Gasoline,Manual,Used,,/offers/triumph-speed-triple-1050-gasoline-red-a24dcabb-3960-1231-e053-0100007f2dd0
10789,25109,137,Ducati Monster 1200,15-Jul,Gasoline,Manual,Used,S STRIPE - Zahnriemen Neu!,/offers/ducati-monster-1200-s-stripe-zahnriemen-neu-gasoline-red-155c6ee5-54fd-4854-bbed-5a1a24c93055
8200,31000,67,Harley-Davidson Sportster 1200,9-Jul,Gasoline,,Used,,/offers/harley-davidson-sportster-1200-gasoline-white-8801afc5-89a5-3b4d-e053-0100007f62ab
9000,410,86,Ducati Scrambler,19-Oct,Gasoline,Manual,Used,1100 Yellow 2019,/offers/ducati-scrambler-1100-yellow-2019-gasoline-yellow-c8a8f16f-75b9-4f96-89ca-7a30d270e92d
20500,13336,,BMW R 1250 GS Adventure,20-Jun,Gasoline,,Used,,/offers/bmw-r-1250-gs-adventure-gasoline-blue-84a21b3d-5fb9-4833-8dff-0e2a90c208bb
21490,5000,131,BMW R 1250 RT,21-Mar,Gasoline,,Demonstration,0,/offers/bmw-r-1250-rt-0-gasoline-blue-b1063960-9823-4b97-8a54-5ea3ec1ccd09
17990,19000,84,Harley-Davidson Road King,15-Sep,Gasoline,Manual,Used,,/offers/harley-davidson-road-king-gasoline-black-5a715cbe-3ffe-4f1c-e053-0100007f2ca9
11950,4244,95,BMW F 800 GS,18-May,Gasoline,,Used,,/offers/bmw-f-800-gs-gasoline-green-0a9c31ba-5cb6-910d-e053-0100007f5c3e
